2025-04-25 10:40:50.623 | INFO     | __main__:setup_logger:64 - 日志系统初始化完成
2025-04-25 10:40:50.623 | INFO     | __main__:load_strategies:108 - 已加载1/1个策略
2025-04-25 10:40:50.623 | INFO     | __main__:load_strategies:110 -   - 策略: MACD与RSI超卖策略 - MACD金叉与RSI低位共振策略 (启用: True, 权重: 1.0)
2025-04-25 10:40:50.623 | INFO     | __main__:scan_stocks:206 - 开始扫描股票，当前时间: 2025-04-25 10:40:50
2025-04-25 10:40:50.623 | ERROR    | data.fetcher:get_index_data:469 - 数据源未初始化
2025-04-25 10:40:50.624 | WARNING  | __main__:detect_market_regime:165 - 无法获取指数数据，无法判断市场状态
2025-04-25 10:40:50.624 | ERROR    | data.fetcher:get_stock_list:84 - 数据源未初始化
2025-04-25 10:40:50.624 | ERROR    | __main__:scan_stocks:216 - 获取股票列表失败
2025-04-25 10:44:52.878 | INFO     | __main__:setup_logger:64 - 日志系统初始化完成
2025-04-25 10:44:52.878 | INFO     | __main__:load_strategies:108 - 已加载1/1个策略
2025-04-25 10:44:52.879 | INFO     | __main__:load_strategies:110 -   - 策略: MACD与RSI超卖策略 - MACD金叉与RSI低位共振策略 (启用: True, 权重: 1.0)
2025-04-25 10:44:52.879 | INFO     | __main__:scan_stocks:206 - 开始扫描股票，当前时间: 2025-04-25 10:44:52
2025-04-25 10:44:53.753 | ERROR    | data.fetcher:get_index_data:487 - 获取上证指数数据失败: Invalid comparison between dtype=int64 and str
2025-04-25 10:44:53.753 | WARNING  | __main__:detect_market_regime:165 - 无法获取指数数据，无法判断市场状态
2025-04-25 10:44:58.066 | ERROR    | data.fetcher:_get_stock_list_akshare:139 - 从akshare获取股票列表失败: 'name'
2025-04-25 10:44:58.067 | ERROR    | __main__:scan_stocks:216 - 获取股票列表失败
2025-04-25 10:52:59.323 | INFO     | __main__:setup_logger:64 - 日志系统初始化完成
2025-04-25 10:52:59.323 | INFO     | __main__:load_strategies:108 - 已加载1/1个策略
2025-04-25 10:52:59.323 | INFO     | __main__:load_strategies:110 -   - 策略: MACD与RSI超卖策略 - MACD金叉与RSI低位共振策略 (启用: True, 权重: 1.0)
2025-04-25 10:52:59.323 | INFO     | __main__:scan_stocks:206 - 开始扫描股票，当前时间: 2025-04-25 10:52:59
2025-04-25 10:53:00.543 | ERROR    | data.fetcher:get_index_data:487 - 获取上证指数数据失败: Invalid comparison between dtype=int64 and str
2025-04-25 10:53:00.544 | WARNING  | __main__:detect_market_regime:165 - 无法获取指数数据，无法判断市场状态
2025-04-25 10:53:05.540 | ERROR    | data.fetcher:_get_stock_list_akshare:139 - 从akshare获取股票列表失败: 'name'
2025-04-25 10:53:05.541 | ERROR    | __main__:scan_stocks:216 - 获取股票列表失败
